Draw Date,WinningNumbers1,WinningNumbers2,WinningNumbers3,WinningNumbers4,WinningNumbers5,Mega Ball,Multiplier
1/23/18,02,06,30,31,55,7,4
1/19/18,03,17,23,49,66,23,3
1/16/18,03,11,23,29,59,18,3
1/12/18,17,18,33,46,60,24,4
1/9/18,16,29,31,65,67,23,3
1/5/18,28,30,39,59,70,10,3
1/2/18,01,42,47,64,70,22,4
12/29/17,04,10,18,28,62,7,2
12/26/17,10,12,20,38,41,25,4
12/22/17,01,20,30,33,42,16,4
12/19/17,28,37,39,42,58,2,3
12/15/17,04,12,36,44,57,19,4
12/12/17,08,23,24,25,27,9,2
12/8/17,06,37,46,60,70,24,2
12/5/17,14,15,37,42,67,22,4
12/1/17,16,22,40,41,59,8,4
11/28/17,10,17,47,51,61,5,2
11/24/17,16,36,54,61,64,22,3
11/21/17,03,07,22,27,50,3,3
11/17/17,03,26,55,58,70,15,4
11/14/17,01,14,21,22,28,19,3
11/10/17,06,23,38,42,58,24,2
11/7/17,01,54,60,68,69,11,4
11/3/17,10,22,42,61,69,3,2
10/31/17,06,28,31,52,53,12,4
10/27/17,17,27,41,51,52,13,5
10/24/17,20,24,34,56,64,6,4
10/20/17,06,23,63,66,73,9,2
10/17/17,31,45,49,56,70,11,5
10/13/17,02,07,18,26,31,12,2
10/10/17,07,16,24,61,62,2,5
10/6/17,21,33,36,45,56,12,5
10/3/17,12,18,19,25,67,7,5
